elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
1024,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,74120,1447,5038
1024,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,74080,1446,5036
1024,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,61432,1664,2687
1024,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,110584,2688,6783
1024,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,30104,609,1936
1024,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,38296,609,2960
1024,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,72840,1439,4872
1024,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,72800,1438,4870
1024,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,60664,1640,2663
1024,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,109816,2664,6759
1024,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,32264,669,2026
1024,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,40456,669,3050
1024,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,74048,1446,5029
1024,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,74008,1445,5027
1024,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,61368,1662,2685
1024,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,110520,2686,6781
2048,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,65656,1369,4100
2048,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,82040,1369,6148
2048,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,112280,2073,7954
2048,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,112240,2072,7952
2048,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,126648,3446,5493
2048,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,224952,5494,13685
2048,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,65080,1353,4076
2048,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,81464,1353,6124
2048,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,112480,2082,7959
2048,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,112440,2081,7957
2048,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,126840,3452,5499
2048,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,225144,5500,13691
2048,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,67672,1425,4184
2048,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,84056,1425,6232
2048,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,115184,2138,8151
2048,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,115144,2137,8149
2048,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,128056,3490,5537
2048,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,226360,5538,13729
2048,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,67024,1407,4157
2048,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,83408,1407,6205
2048,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,114808,2135,8106
2048,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,114768,2134,8104
2048,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,127032,3458,5505
2048,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,225336,5506,13697
4096,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,120200,2429,7738
4096,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,152968,2429,11834
4096,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,177448,2867,13866
4096,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,177408,2866,13864
4096,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,241592,6526,10621
4096,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,438200,10622,27005
4096,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,119840,2419,7723
4096,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,152608,2419,11819
4096,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,175240,2811,13752
4096,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,175200,2810,13750
4096,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,241272,6516,10611
4096,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,437880,10612,26995
4096,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,120200,2429,7738
